sample_id	min_reads	max_reads	molecules	q_min	q_p25	q_median	q_p75	q_max	q_mean
PBMC	1	1	15360	28	30	31	31	34	30.760
PBMC	2	3	3387	37	39	40	40	40	39.609
PBMC	4	7	1514	39	40	40	40	40	39.998
PBMC	8	15	716	40	40	40	40	40	40.000
PBMC	16	31	357	40	40	40	40	40	40.000
PBMC	32	63	165	40	40	40	40	40	40.000
PBMC	64	127	79	40	40	40	40	40	40.000
PBMC	128	255	30	40	40	40	40	40	40.000
PBMC	256	511	13	40	40	40	40	40	40.000
PBMC	512	1023	8	40	40	40	40	40	40.000
PBMC	1024	2047	4	40	40	40	40	40	40.000
PBMC	2048	4095	2	40	40	40	40	40	40.000
PBMC	16384	32767	1	40	40	40	40	40	40.000
